AsofDate,client,strategy,ticker,descr,symbol,name,valueDate,monthCode,yearCode,bbrgType,tradeType,pstn,pnlDly,pnlMtd,pnlYtd,intraDay,notional,comments,price,updatedBy,lastUpdated,tickerUnderlying,priceUnderlying,ttype,putCall,openClose,optionStrike,optionDelta,canceled,canceled_by,canceled_time,tradeDate,id,EntityID
07/05/2025,CITFUND,FUTURES,LXX5,(null),LX,(null),19/11/2025,X,2025,(null),LME,1,-422.75,(null),(null),N,65935.25,(null),2637.41,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880823,(null)
07/05/2025,CITFUND,FUTURES,NGF6,(null),NG,(null),(null),F,2026,(null),Futures,-12,-5160,(null),(null),N,-618960,(null),5.158,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880824,(null)
07/05/2025,CITFUND,FUTURES,NGM5,(null),NG,(null),(null),M,2025,(null),Futures,1,1580,(null),(null),N,36210,(null),3.621,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880825,(null)
07/05/2025,CITFUND,FUTURES,NGN5,(null),NG,(null),(null),N,2025,(null),Futures,18,23400,(null),(null),N,710460,(null),3.947,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880826,(null)
07/05/2025,CITFUND,FUTURES,NGU5,(null),NG,(null),(null),U,2025,(null),Futures,-1,-1010,(null),(null),N,-39990,(null),3.999,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880827,(null)
07/05/2025,CITFUND,FUTURES,NGV5,(null),NG,(null),(null),V,2025,(null),Futures,11,10780,(null),(null),N,447370,(null),4.067,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880828,(null)
07/05/2025,CITFUND,FUTURES,QSX5,(null),QS,(null),(null),X,2025,(null),Futures,2,-2250,(null),(null),N,115850,(null),579.25,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880829,(null)
07/05/2025,CITFUND,FUTURES,S N5,(null),S,(null),(null),N,2025,(null),Futures,2,-200,(null),(null),N,103925,(null),1039.25,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880830,(null)
07/05/2025,CITFUND,FUTURES,S X5,(null),S,(null),(null),X,2025,(null),Futures,4,550,(null),(null),N,204400,(null),1022,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880831,(null)
07/05/2025,CITFUND,FUTURES,SBV5,(null),SB,(null),(null),V,2025,(null),Futures,8,-2688,(null),(null),N,154828.8,(null),17.28,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880832,(null)
07/05/2025,CITFUND,FUTURES,SIZ5,(null),SI,(null),(null),Z,2025,(null),Futures,2,-5750,(null),(null),N,335220,(null),33.522,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880833,(null)
07/05/2025,CITFUND,FUTURES,SMZ5,(null),SM,(null),(null),Z,2025,(null),Futures,3,660,(null),(null),N,91140,(null),303.8,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880834,(null)
07/05/2025,CITFUND,FUTURES,W Z5,(null),W,(null),(null),Z,2025,(null),Futures,3,-150,(null),(null),N,85687.5,(null),571.25,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880835,(null)
07/05/2025,CITFUND,FUTURES,XBX5,(null),XB,(null),(null),X,2025,(null),Futures,1,-1167.6,(null),(null),N,72811.2,(null),173.36,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880836,(null)
07/05/2025,GCFUND,FUTURES,BOZ5,(null),BO,(null),(null),Z,2025,(null),Futures,77,-34650,(null),(null),N,2199120,(null),47.6,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880837,(null)
07/05/2025,GCFUND,FUTURES,C N5,(null),C,(null),(null),N,2025,(null),Futures,114,-35625,(null),(null),N,2560725,(null),449.25,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880838,(null)
07/05/2025,GCFUND,FUTURES,C Z5,(null),C,(null),(null),Z,2025,(null),Futures,114,-2850,(null),(null),N,2512275,(null),440.75,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880839,(null)
07/05/2025,GCFUND,FUTURES,CCZ5,(null),CC,(null),(null),Z,2025,(null),Futures,-2,-4620,(null),(null),N,-167640,(null),8382,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880840,(null)
07/05/2025,GCFUND,FUTURES,CLN5,(null),CL,(null),(null),N,2025,(null),Futures,226,-221480,(null),(null),N,13040200,(null),57.7,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880841,(null)
07/05/2025,GCFUND,FUTURES,CLX5,(null),CL,(null),(null),X,2025,(null),Futures,-100,99000,(null),(null),N,-5688000,(null),56.88,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880842,(null)
07/05/2025,GCFUND,FUTURES,COX5,(null),CO,(null),(null),X,2025,(null),Futures,134,-131320,(null),(null),N,8096280,(null),60.42,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880843,(null)
07/05/2025,GCFUND,FUTURES,CTZ5,(null),CT,(null),(null),Z,2025,(null),Futures,44,-5940,(null),(null),N,1523500,(null),69.25,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880844,(null)
07/05/2025,GCFUND,FUTURES,GCZ5,(null),GC,(null),(null),Z,2025,(null),Futures,54,-165240,(null),(null),N,18773100,(null),3476.5,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880845,(null)
07/05/2025,GCFUND,FUTURES,HGZ5,(null),HG,(null),(null),Z,2025,(null),Futures,42,-117600,(null),(null),N,5013750,(null),477.5,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880846,(null)
07/05/2025,GCFUND,FUTURES,HOM5,(null),HO,(null),(null),M,2025,(null),Futures,27,-36514.8,(null),(null),N,2241464.4,(null),197.66,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880847,(null)
07/05/2025,GCFUND,FUTURES,HOX5,(null),HO,(null),(null),X,2025,(null),Futures,20,-27300,(null),(null),N,1674288,(null),199.32,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880848,(null)
07/05/2025,GCFUND,FUTURES,JOX5,(null),JO,(null),(null),X,2025,(null),Futures,2,-1365,(null),(null),N,73605,(null),245.35,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880849,(null)
