AsofDate,Client,Strategy,Symbol,SecType,Contract,Short,Long,Source,Other,last_updated,id1,account
22/01/25 00:00,CITFUND,TAP_OPTIM,2497,Equity,PE&OLES* MM,0,700,test,test,22/01/25 09:15,1859204,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,4226,Equity,POU CN,0,1000,test,test,22/01/25 09:15,1859205,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,2350,Equity,RGLD US,0,89,test,test,22/01/25 09:15,1859206,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,4107,Equity,RIG US,-442,0,test,test,22/01/25 09:15,1859207,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,44,Equity,RMS AU,-4884,0,test,test,22/01/25 09:15,1859208,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,1276,Equity,SJW US,0,461,test,test,22/01/25 09:15,1859209,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,28529,Equity,SLR SM,0,1725,test,test,22/01/25 09:15,1859210,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,5367,Equity,SSRM CN,-60,0,test,test,22/01/25 09:15,1859211,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,4394,Equity,STR US,0,798,test,test,22/01/25 09:15,1859212,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,3270,Equity,TCW CN,0,3700,test,test,22/01/25 09:15,1859213,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,4791,Equity,TDW US,0,525,test,test,22/01/25 09:15,1859214,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,3748,Equity,TSN US,-1291,0,test,test,22/01/25 09:15,1859215,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,3902,Equity,VTLE US,-1208,0,test,test,22/01/25 09:15,1859216,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,1774,Equity,WCP CN,0,6500,test,test,22/01/25 09:15,1859217,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,1170,Equity,WPM US,0,184,test,test,22/01/25 09:15,1859218,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,986,Equity,WTRG US,0,1851,test,test,22/01/25 09:15,1859219,EG
